[2017-03-17 02:55:38.048909] Iter=0 - Light Eval - n=20; mean=31.500000; std=35.876249; min=0.000000; max=135.000000
[2017-03-17 02:56:41.208344] Iter=0 - Full Eval - n=100; mean=45.200000; std=39.382353; min=0.000000; max=230.000000
[2017-03-17 02:57:22.120345] Iter=1000 - Light Eval - n=20; mean=63.750000; std=38.109089; min=15.000000; max=125.000000
[2017-03-17 02:58:08.831562] Iter=2000 - Light Eval - n=20; mean=41.500000; std=23.345235; min=0.000000; max=85.000000
[2017-03-17 02:58:56.746941] Iter=3000 - Light Eval - n=20; mean=215.000000; std=129.014483; min=80.000000; max=590.000000
[2017-03-17 02:59:47.902714] Iter=4000 - Light Eval - n=20; mean=167.500000; std=75.507058; min=45.000000; max=310.000000
[2017-03-17 03:00:34.944540] Iter=5000 - Light Eval - n=20; mean=59.500000; std=69.223133; min=15.000000; max=305.000000
[2017-03-17 03:01:20.440844] Iter=6000 - Light Eval - n=20; mean=33.250000; std=31.550920; min=5.000000; max=115.000000
[2017-03-17 03:02:07.526924] Iter=7000 - Light Eval - n=20; mean=44.500000; std=37.553471; min=0.000000; max=160.000000
[2017-03-17 03:03:00.413435] Iter=8000 - Light Eval - n=20; mean=232.750000; std=119.466743; min=100.000000; max=550.000000
[2017-03-17 03:03:53.351366] Iter=9000 - Light Eval - n=20; mean=168.000000; std=137.126526; min=75.000000; max=650.000000
[2017-03-17 03:04:47.317374] Iter=10000 - Light Eval - n=20; mean=135.500000; std=110.939766; min=15.000000; max=430.000000
[2017-03-17 03:05:58.047850] Iter=10000 - Full Eval - n=100; mean=125.550000; std=110.574476; min=0.000000; max=430.000000
[2017-03-17 03:06:39.537044] Iter=11000 - Light Eval - n=20; mean=61.500000; std=47.242376; min=5.000000; max=210.000000
[2017-03-17 03:07:31.418127] Iter=12000 - Light Eval - n=20; mean=236.250000; std=95.846300; min=110.000000; max=410.000000
[2017-03-17 03:08:19.942154] Iter=13000 - Light Eval - n=20; mean=180.750000; std=100.436875; min=30.000000; max=410.000000
[2017-03-17 03:09:08.527987] Iter=14000 - Light Eval - n=20; mean=52.500000; std=65.040473; min=5.000000; max=275.000000
[2017-03-17 03:09:53.184927] Iter=15000 - Light Eval - n=20; mean=108.000000; std=112.394980; min=30.000000; max=460.000000
[2017-03-17 03:10:46.724864] Iter=16000 - Light Eval - n=20; mean=262.750000; std=129.700820; min=45.000000; max=505.000000
[2017-03-17 03:11:33.517171] Iter=17000 - Light Eval - n=20; mean=116.500000; std=73.468575; min=30.000000; max=295.000000
[2017-03-17 03:12:23.170922] Iter=18000 - Light Eval - n=20; mean=38.500000; std=31.292340; min=5.000000; max=105.000000
[2017-03-17 03:13:10.674453] Iter=19000 - Light Eval - n=20; mean=132.500000; std=115.889012; min=15.000000; max=490.000000
[2017-03-17 03:13:55.155599] Iter=20000 - Light Eval - n=20; mean=23.500000; std=27.101175; min=0.000000; max=120.000000
[2017-03-17 03:14:53.601173] Iter=20000 - Full Eval - n=100; mean=26.100000; std=25.698131; min=0.000000; max=135.000000
[2017-03-17 03:15:45.720783] Iter=21000 - Light Eval - n=20; mean=258.000000; std=120.146840; min=45.000000; max=465.000000
[2017-03-17 03:16:38.397558] Iter=22000 - Light Eval - n=20; mean=241.000000; std=121.326007; min=85.000000; max=610.000000
[2017-03-17 03:17:26.935403] Iter=23000 - Light Eval - n=20; mean=27.000000; std=33.023118; min=0.000000; max=110.000000
[2017-03-17 03:18:15.544258] Iter=24000 - Light Eval - n=20; mean=198.000000; std=92.543020; min=65.000000; max=405.000000
[2017-03-17 03:19:07.553700] Iter=25000 - Light Eval - n=20; mean=141.500000; std=79.291269; min=20.000000; max=295.000000
[2017-03-17 03:19:57.175988] Iter=26000 - Light Eval - n=20; mean=263.250000; std=163.612789; min=105.000000; max=740.000000
[2017-03-17 03:20:43.119420] Iter=27000 - Light Eval - n=20; mean=113.000000; std=82.116733; min=75.000000; max=395.000000
[2017-03-17 03:21:33.731371] Iter=28000 - Light Eval - n=20; mean=211.250000; std=113.449212; min=70.000000; max=535.000000
[2017-03-17 03:22:22.453807] Iter=29000 - Light Eval - n=20; mean=169.500000; std=89.632290; min=35.000000; max=390.000000
[2017-03-17 03:23:14.928196] Iter=30000 - Light Eval - n=20; mean=224.000000; std=108.586614; min=45.000000; max=485.000000
[2017-03-17 03:24:33.123023] Iter=30000 - Full Eval - n=100; mean=196.050000; std=99.120616; min=30.000000; max=500.000000
[2017-03-17 03:25:25.907442] Iter=31000 - Light Eval - n=20; mean=170.250000; std=126.287840; min=105.000000; max=625.000000
[2017-03-17 03:26:14.983186] Iter=32000 - Light Eval - n=20; mean=173.250000; std=16.485640; min=135.000000; max=180.000000
[2017-03-17 03:27:03.212417] Iter=33000 - Light Eval - n=20; mean=183.000000; std=9.233805; min=180.000000; max=210.000000
[2017-03-17 03:27:50.033418] Iter=34000 - Light Eval - n=20; mean=39.500000; std=28.418860; min=5.000000; max=90.000000
[2017-03-17 03:28:40.077894] Iter=35000 - Light Eval - n=20; mean=255.000000; std=161.277792; min=50.000000; max=620.000000
[2017-03-17 03:29:30.117758] Iter=36000 - Light Eval - n=20; mean=133.250000; std=96.303727; min=35.000000; max=430.000000
[2017-03-17 03:30:18.535929] Iter=37000 - Light Eval - n=20; mean=147.750000; std=92.615149; min=75.000000; max=365.000000
[2017-03-17 03:31:09.572335] Iter=38000 - Light Eval - n=20; mean=236.500000; std=165.752669; min=65.000000; max=605.000000
[2017-03-17 03:31:59.072511] Iter=39000 - Light Eval - n=20; mean=137.500000; std=114.057926; min=10.000000; max=435.000000
[2017-03-17 03:32:49.911663] Iter=40000 - Light Eval - n=20; mean=190.500000; std=126.261008; min=40.000000; max=490.000000
[2017-03-17 03:34:10.695623] Iter=40000 - Full Eval - n=100; mean=249.500000; std=141.482947; min=30.000000; max=710.000000
[2017-03-17 03:35:00.116211] Iter=41000 - Light Eval - n=20; mean=195.500000; std=94.547398; min=80.000000; max=425.000000
[2017-03-17 03:35:48.609143] Iter=42000 - Light Eval - n=20; mean=181.500000; std=143.756922; min=15.000000; max=565.000000
[2017-03-17 03:36:42.149090] Iter=43000 - Light Eval - n=20; mean=203.500000; std=133.239989; min=75.000000; max=600.000000
[2017-03-17 03:37:35.112502] Iter=44000 - Light Eval - n=20; mean=285.250000; std=108.415320; min=110.000000; max=605.000000
[2017-03-17 03:38:23.135051] Iter=45000 - Light Eval - n=20; mean=183.250000; std=119.177830; min=105.000000; max=505.000000
[2017-03-17 03:39:06.729232] Iter=46000 - Light Eval - n=20; mean=43.750000; std=36.014434; min=0.000000; max=130.000000
[2017-03-17 03:39:51.954725] Iter=47000 - Light Eval - n=20; mean=84.500000; std=88.658125; min=20.000000; max=425.000000
[2017-03-17 03:40:40.477170] Iter=48000 - Light Eval - n=20; mean=55.750000; std=57.862700; min=5.000000; max=225.000000
[2017-03-17 03:41:28.535475] Iter=49000 - Light Eval - n=20; mean=159.750000; std=69.234061; min=80.000000; max=340.000000
[2017-03-17 03:42:15.881970] Iter=50000 - Light Eval - n=20; mean=177.250000; std=68.604032; min=50.000000; max=335.000000
[2017-03-17 03:43:27.547994] Iter=50000 - Full Eval - n=100; mean=174.600000; std=85.394746; min=15.000000; max=530.000000
[2017-03-17 03:44:17.773460] Iter=51000 - Light Eval - n=20; mean=215.750000; std=135.649267; min=45.000000; max=515.000000
[2017-03-17 03:45:06.360136] Iter=52000 - Light Eval - n=20; mean=248.250000; std=131.941724; min=80.000000; max=590.000000
[2017-03-17 03:45:55.794967] Iter=53000 - Light Eval - n=20; mean=168.500000; std=89.429478; min=65.000000; max=390.000000
[2017-03-17 03:46:37.925293] Iter=54000 - Light Eval - n=20; mean=113.500000; std=78.858634; min=5.000000; max=270.000000
[2017-03-17 03:47:27.454472] Iter=55000 - Light Eval - n=20; mean=149.250000; std=99.608114; min=30.000000; max=450.000000
[2017-03-17 03:48:17.157438] Iter=56000 - Light Eval - n=20; mean=233.750000; std=138.752667; min=30.000000; max=580.000000
