[2017-03-20 16:26:05.559817] Iter=0 - Full Eval - n=100; mean=40.500000; std=56.243967; min=0.000000; max=400.000000
[2017-03-20 16:27:01.761149] Iter=1 - Light Eval - n=20; mean=228.000000; std=53.073931; min=110.000000; max=340.000000
[2017-03-20 16:27:58.623857] Iter=2 - Light Eval - n=20; mean=112.250000; std=82.788173; min=30.000000; max=390.000000
[2017-03-20 16:28:56.754074] Iter=3 - Light Eval - n=20; mean=221.000000; std=92.545863; min=105.000000; max=500.000000
[2017-03-20 16:29:54.779209] Iter=4 - Light Eval - n=20; mean=162.500000; std=102.283147; min=10.000000; max=415.000000
[2017-03-20 16:30:50.620236] Iter=5 - Light Eval - n=20; mean=219.250000; std=95.659415; min=120.000000; max=415.000000
[2017-03-20 16:31:47.991973] Iter=6 - Light Eval - n=20; mean=239.000000; std=183.099053; min=30.000000; max=770.000000
[2017-03-20 16:32:45.293048] Iter=7 - Light Eval - n=20; mean=191.000000; std=109.118477; min=20.000000; max=480.000000
[2017-03-20 16:33:45.095158] Iter=8 - Light Eval - n=20; mean=174.750000; std=77.161400; min=35.000000; max=290.000000
[2017-03-20 16:34:43.595691] Iter=9 - Light Eval - n=20; mean=169.500000; std=109.146208; min=35.000000; max=440.000000
[2017-03-20 16:35:42.792957] Iter=10 - Light Eval - n=20; mean=258.250000; std=118.269040; min=105.000000; max=545.000000
[2017-03-20 16:36:43.488257] Iter=10 - Full Eval - n=100; mean=235.450000; std=139.213329; min=5.000000; max=545.000000
[2017-03-20 16:37:40.160529] Iter=11 - Light Eval - n=20; mean=240.250000; std=120.998858; min=45.000000; max=535.000000
[2017-03-20 16:38:36.341083] Iter=12 - Light Eval - n=20; mean=216.750000; std=93.079974; min=75.000000; max=410.000000
[2017-03-20 16:39:33.742629] Iter=13 - Light Eval - n=20; mean=221.750000; std=99.687340; min=85.000000; max=460.000000
[2017-03-20 16:40:31.034733] Iter=14 - Light Eval - n=20; mean=223.000000; std=112.383273; min=60.000000; max=490.000000
[2017-03-20 16:41:28.393220] Iter=15 - Light Eval - n=20; mean=237.250000; std=115.102643; min=135.000000; max=545.000000
[2017-03-20 16:42:25.315422] Iter=16 - Light Eval - n=20; mean=246.250000; std=131.498199; min=40.000000; max=565.000000
[2017-03-20 16:43:23.574725] Iter=17 - Light Eval - n=20; mean=192.750000; std=110.518812; min=75.000000; max=535.000000
[2017-03-20 16:44:21.423020] Iter=18 - Light Eval - n=20; mean=229.250000; std=131.121428; min=85.000000; max=605.000000
[2017-03-20 16:45:17.694489] Iter=19 - Light Eval - n=20; mean=266.250000; std=132.336046; min=45.000000; max=560.000000
[2017-03-20 16:46:17.175878] Iter=20 - Light Eval - n=20; mean=296.000000; std=135.088665; min=60.000000; max=545.000000
[2017-03-20 16:47:18.485181] Iter=20 - Full Eval - n=100; mean=277.650000; std=121.635436; min=60.000000; max=655.000000
[2017-03-20 16:48:16.385795] Iter=21 - Light Eval - n=20; mean=266.250000; std=114.740841; min=90.000000; max=515.000000
[2017-03-20 16:49:13.887537] Iter=22 - Light Eval - n=20; mean=189.000000; std=113.306756; min=15.000000; max=430.000000
[2017-03-20 16:50:10.823934] Iter=23 - Light Eval - n=20; mean=208.250000; std=114.412400; min=30.000000; max=535.000000
[2017-03-20 16:51:07.153033] Iter=24 - Light Eval - n=20; mean=212.250000; std=102.141221; min=65.000000; max=500.000000
[2017-03-20 16:52:03.507204] Iter=25 - Light Eval - n=20; mean=223.250000; std=105.883190; min=105.000000; max=410.000000
[2017-03-20 16:53:00.138000] Iter=26 - Light Eval - n=20; mean=221.000000; std=139.808139; min=30.000000; max=575.000000
[2017-03-20 16:53:59.336790] Iter=27 - Light Eval - n=20; mean=212.750000; std=131.893847; min=75.000000; max=670.000000
[2017-03-20 16:54:54.961906] Iter=28 - Light Eval - n=20; mean=157.000000; std=62.035643; min=35.000000; max=240.000000
[2017-03-20 16:55:51.230503] Iter=29 - Light Eval - n=20; mean=181.750000; std=80.757516; min=105.000000; max=410.000000
[2017-03-20 16:56:47.381976] Iter=30 - Light Eval - n=20; mean=159.500000; std=108.590249; min=20.000000; max=470.000000
[2017-03-20 16:57:41.244077] Iter=30 - Full Eval - n=100; mean=156.300000; std=103.583812; min=20.000000; max=540.000000
[2017-03-20 16:58:39.940225] Iter=31 - Light Eval - n=20; mean=244.500000; std=149.718156; min=35.000000; max=690.000000
[2017-03-20 16:59:39.038104] Iter=32 - Light Eval - n=20; mean=249.250000; std=113.023926; min=115.000000; max=480.000000
[2017-03-20 17:00:37.019508] Iter=33 - Light Eval - n=20; mean=272.250000; std=112.149747; min=135.000000; max=575.000000
[2017-03-20 17:01:36.929699] Iter=34 - Light Eval - n=20; mean=303.000000; std=192.034810; min=110.000000; max=860.000000
